Created a socket
(1754943816.273171) can0 0x98#0000000000000000
(1754943816.288146) can0 0x98#0000000000000000
(1754943816.2883623) can0 0x43#0000003601000000
(1754943816.2886088) can0 0xa2#0000000000000000
(1754943816.303079) can0 0xa2#0000000000000000
(1754943816.303287) can0 0x43#0000008700000000
(1754943816.3035522) can0 0x98#0000000000000000
(1754943816.3038256) can0 0x290#0000000000000000
(1754943816.319154) can0 0x98#0000000000000000
(1754943816.3193786) can0 0x43#0000001B00000000
(1754943816.3196278) can0 0xa2#0000000000000000
(1754943816.3352191) can0 0xa2#0000000000000000
(1754943816.3355) can0 0x98#0000000000000000
(1754943816.3357477) can0 0x43#0000000200000000
(1754943816.350622) can0 0xa2#0000000000000000
(1754943816.3508456) can0 0x43#0000003900000000
(1754943816.3510983) can0 0x98#0000000000000000
(1754943816.3655431) can0 0xa2#0000000000000000
(1754943816.3657596) can0 0x43#000000B800000000
(1754943816.3660185) can0 0x98#0000000000000000
(1754943816.3802888) can0 0xa2#0000000000000000
(1754943816.3805234) can0 0x43#0000007F01000000
(1754943816.3807697) can0 0x98#0000000000000000
(1754943816.39647) can0 0x43#000000A202000000
(1754943816.3966925) can0 0x98#0000000000000000
(1754943816.3969452) can0 0xa2#0000000000000000
(1754943816.4117296) can0 0x43#000000FB03000000
(1754943816.4119356) can0 0xa2#0000000000000000
(1754943816.4121737) can0 0x98#0000000000000000
(1754943816.4124427) can0 0x290#0000000000000000
(1754943816.4276202) can0 0x43#000000B905000000
(1754943816.4278085) can0 0x98#0000000000000000
(1754943816.4280596) can0 0xa2#0000000000000000
(1754943816.4432082) can0 0xa2#0000000000000000
(1754943816.443424) can0 0x43#000000A207000000
(1754943816.4436686) can0 0x98#0000000000000000
(1754943816.4587963) can0 0xa2#0000000000000000
(1754943816.4590018) can0 0x43#000000F609000000
(1754943816.459258) can0 0x98#0000000000000000
(1754943816.4738762) can0 0x43#0000006A0C000000
(1754943816.4740922) can0 0x98#0000000000000000
(1754943816.4743462) can0 0xa2#0000000000000000
(1754943816.4885826) can0 0x43#0000001F0F000000
(1754943816.4888012) can0 0x98#0000000000000000
(1754943816.4890733) can0 0xa2#0000000000000000
(1754943816.5036578) can0 0x43#0000001312000000
(1754943816.503877) can0 0x98#0000000000000000
(1754943816.5041168) can0 0xa2#0000000000000000
(1754943816.5189168) can0 0x43#0000004515000000
(1754943816.5191188) can0 0x98#0000000000000000
(1754943816.519364) can0 0xa2#0000000000000000
(1754943816.519624) can0 0x290#0000000000000000
(1754943816.5337346) can0 0xa2#0000000000000000
(1754943816.5339499) can0 0x43#000000B418000000
(1754943816.534203) can0 0x98#0000000000000000
(1754943816.5488298) can0 0xa2#0000000000000000
(1754943816.5490406) can0 0x43#0000005C1C000000
(1754943816.5493014) can0 0x98#0000000000000000
(1754943816.563901) can0 0xa2#0000000000000000
(1754943816.564123) can0 0x43#0000003D20000000
(1754943816.5643766) can0 0x98#0000000000000000
(1754943816.578999) can0 0x43#0000009B24000000
(1754943816.579218) can0 0x98#0000000000000000
(1754943816.5794857) can0 0xa2#0000000000000000
(1754943816.5945976) can0 0x98#0000000000000000
(1754943816.5948157) can0 0xa2#0000000000000000
(1754943816.5950627) can0 0x43#000000E828000000
(1754943816.6105268) can0 0x98#0000000000000000
(1754943816.6107502) can0 0xa2#0000000000000000
(1754943816.6118662) can0 0x43#000000B52D000000
(1754943816.6242) can0 0xa2#0000000000000000
(1754943816.6244187) can0 0x43#0000001332000000
(1754943816.6246817) can0 0x98#0000000000000000
(1754943816.6249409) can0 0x290#0000000000000000
(1754943816.640501) can0 0xa2#0000000000000000
(1754943816.6407216) can0 0x43#000000EB36000000
(1754943816.6409795) can0 0x98#0000000000000000
(1754943816.6551993) can0 0x98#0000000000000000
(1754943816.65541) can0 0x43#000000EC3B000000
(1754943816.655665) can0 0xa2#0000000000000000
(1754943816.670727) can0 0x98#0000000000000000
(1754943816.670941) can0 0x43#0000006C41000000
